Age,EN
0,3
0,3
0,3
0,3
0,3
0,3
0,2
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
0,3
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
2,4
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,5
2,4
2,5
2,5
2,5
2,5
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,6
3,5
3,6
3,5
3,6
3,6
3,6
3,6
3,5
3,6
3,6
3,5
3,6
3,6
3,6
3,6
3,5
3,6
3,6
3,6
3,6
4,6
4,6
4,6
4,6
4,6
4,7
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,7
4,6
5,7
5,7
5,7
5,7
5,7
5,8
5,6
5,7
5,7
5,7
5,7
5,7
5,7
5,6
5,7
5,7
5,8
5,7
5,7
5,7
5,8
5,7
5,7
5,8
5,7
5,7
5,7
5,7
5,7
5,7
5,7
6,8
6,8
6,8
6,8
6,8
6,8
6,9
6,8
6,8
6,8
6,8
6,8
6,8
6,8
6,9
6,8
6,7
6,8
6,8
6,8
6,9
6,8
6,8
6,8
6,8
7,9
7,8
7,8
7,8
7,9
7,9
7,9
7,9
7,9
7,8
7,9
7,9
7,8
7,9
7,9
7,8
7,9
7,8
7,9
7,9
7,9
7,9
7,9
7,9
7,9
7,9
7,9
7,9
8,9
8,9
8,9
8,9
8,9
8,10
8,9
8,9
8,9
8,10
8,9
8,9
8,10
8,10
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,9
8,10
8,9
8,9
9,10
9,10
9,10
9,9
9,10
9,10
9,10
9,10
9,9
9,10
9,10
9,10
9,12
9,10
9,9
9,10
9,10
9,10
9,10
9,10
9,10
9,10
9,11
9,10
9,10
9,11
10,11
10,11
10,10
10,10
10,11
10,10
10,11
10,9
10,11
10,11
10,11
10,11
10,10
10,11
10,10
10,11
10,10
10,11
10,10
10,11
10,11
10,11
10,9
10,12
10,10
10,11
11,11
11,12
11,10
11,11
11,11
11,12
11,12
11,11
11,11
11,10
11,12
11,11
11,11
11,11
11,10
11,11
11,12
11,12
11,11
11,12
11,11
12,10
12,11
12,11
12,12
12,11
12,12
12,11
12,12
12,12
12,11
12,11
12,11
12,12
12,12
12,12
12,11
12,12
12,11
12,12
12,12
12,11
12,11
12,11
12,11
12,11
12,11
12,12
12,11
12,12
12,11
12,12
12,12
12,11
12,12
12,12
12,11
12,11
12,12
12,11
13,11
13,12
13,11
13,12
13,12
13,12
13,12
13,11
13,13
13,12
13,10
13,13
13,12
13,13
13,10
13,12
13,12
13,11
13,13
13,12
14,13
14,12
14,13
14,12
14,13
14,13
14,13
14,12
14,12
14,14
14,13
14,12
14,13
14,13
14,13
14,12
14,12
14,13
14,13
14,14
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,13
14,14
15,15
15,14
15,14
15,15
15,15
15,15
15,15
15,14
15,13
15,14
15,14
15,14
15,14
15,15
15,14
15,14
15,14
15,14
15,14
15,13
16,15
16,15
16,16
16,14
16,14
16,15
16,15
16,15
16,15
16,15
16,15
16,15
16,14
16,15
16,15
17,15
17,15
17,15
17,15
17,15
17,15
17,16
17,14
17,15
17,14
17,15
17,14
17,15
17,15
17,14
17,16
17,15
17,17
17,15
17,15
18,15
18,16
18,16
18,15
18,16
18,17
18,17
18,15
18,17
18,16
18,16
18,15
18,15
18,16
18,17
18,16
18,16
