 BL,EN,GZ L ,GZ L cells,GZ WA,GZ WA cells,GZ WB,GZ WB cells,GZ A,Last Seg L,Last Seg L cells,Last Seg A,Trunk A,DAPI,AP oriented DAPI,% AP DAPI,pH3,Tagma
0.404,3,0.094,18,0.158,28,0.074,12,0.01159,0.02307,5,0.00438,0.02523,11,10,90.90909091,5.891677048,Thoracic PreMolt
0.429,3,0.101,17,0.169,28,0.083,11,0.01395,0.01736,3,0.0048,0.02941,11,10,90.90909091,5.56460381,Thoracic PreMolt
0.393,3,0.089,16,0.151,26,0.079,12,0.01074,0.02188,5,0.00401,0.0241,16,15,93.75,8.493316476,Thoracic PreMolt
0.419,3,0.093,13,0.155,26,0.085,14,0.01236,0.02247,5,0.0039,0.02543,14,14,100,8.023516857,Thoracic PreMolt
0.426,3,0.103,19,0.161,27,0.08,14,0.01267,0.0218,5,0.00462,0.02739,12,11,91.66666667,6.469623429,Thoracic PreMolt
0.391,4,0.083,15,0.122,20,0.07,11,0.00849,0.01249,3,0.00207,0.02033,2,1,50,10,Thoracic PreMolt
0.404,4,0.081,16,0.133,20,0.074,14,0.00881,0.01668,4,0.00245,0.02258,3,1,33.33333333,16,Thoracic PreMolt
0.424,4,0.078,15,0.141,27,0.067,12,0.00877,0.01674,4,0.00313,0.02605,3,3,100,8,Thoracic PreMolt
0.412,4,0.082,14,0.129,21,0.06,9,0.00863,0.01778,3,0.00253,0.02136,7,7,100,20,Thoracic PreMolt
0.451,4,0.091,16,0.129,23,0.067,11,0.00956,0.01627,3,0.00261,0.02604,3,3,100,10,Thoracic PreMolt
0.436,4,0.084,15,0.132,22,0.07,10,0.00943,0.01519,4,0.00272,0.02464,4,3,75,19,Thoracic PreMolt
0.417,4,0.091,14,0.125,22,0.062,10,0.0091,0.01322,3,0.00225,0.02231,6,5,83.33333333,24,Thoracic PreMolt
0.426,4,0.078,12,0.14,23,0.07,9,0.00855,0.01519,3,0.00281,0.02496,5,5,100,16,Thoracic PreMolt
0.452,4,0.103,17,0.14,23,0.076,11,0.01182,0.01761,4,0.00326,0.02775,10,10,100,17,Thoracic PreMolt
0.406,4,0.081,15,0.121,22,0.067,10,0.00833,0.01383,3,0.00223,0.02138,9,9,100,24,Thoracic PreMolt
0.429,4,0.084,17,0.134,19,0.077,12,0.00947,0.01452,3,0.0027,0.02446,5,5,100,5,Thoracic PreMolt
0.412,4,0.08,13,0.138,20,0.067,11,0.00854,0.01535,3,0.003,0.02332,8,7,87.5,14,Thoracic PreMolt
0.436,4,0.084,13,0.134,23,0.068,11,0.00965,0.01531,3,0.00242,0.02408,9,8,88.88888889,12,Thoracic PreMolt
0.422,4,0.089,14,0.137,22,0.058,8,0.00932,0.0184,4,0.00264,0.02461,8,7,87.5,13,Thoracic PreMolt
0.401,4,0.085,14,0.126,19,0.062,9,0.00872,0.01536,3,0.00208,0.02165,9,9,100,15,Thoracic PreMolt
0.44,4,0.074,15,0.134,20,0.078,12,0.00862,0.01926,4,0.0029,0.02581,4,4,100,13,Thoracic PreMolt
0.408,4,0.072,13,0.129,20,0.074,10,0.00831,0.01889,4,0.00264,0.02185,5,4,80,17,Thoracic PreMolt
0.397,4,0.066,13,0.115,17,0.067,10,0.00619,0.01489,3,0.00228,0.01906,5,5,100,13,Thoracic PreMolt
0.369,4,0.079,15,0.118,18,0.059,9,0.00736,0.01313,3,0.00186,0.01823,9,9,100,,Thoracic PreMolt
0.439,4,0.099,19,0.138,22,0.076,14,0.01098,0.01319,3,0.00279,0.02687,4,2,50,10,Thoracic PreMolt
0.41,4,0.08,16,0.128,22,0.074,13,0.00884,0.01445,3,0.00212,0.02151,9,9,100,14,Thoracic PreMolt
0.433,4,0.081,16,0.14,23,0.074,12,0.00912,0.01527,3,0.00272,0.02571,6,5,83.33333333,9,Thoracic PreMolt
0.399,4,0.074,13,0.131,20,0.066,12,0.00769,0.01519,3,0.00268,0.02261,8,7,87.5,21,Thoracic PreMolt
0.406,4,0.08,14,0.13,22,0.069,10,0.0084,0.01409,3,0.00263,0.0234,5,4,80,20,Thoracic PreMolt
0.384,4,0.065,12,0.12,20,0.067,12,0.00636,0.01504,3,0.00207,0.01895,6,5,83.33333333,11,Thoracic PreMolt
0.442,4,0.08,14,0.138,21,0.077,13,0.00864,0.01993,4,0.00355,0.02542,10,8,80,29,Thoracic PreMolt
0.444,5,0.079,14,0.135,22,0.08,11,0.00864,0.01519,3,0.00287,0.02737,0,0,,1,Thoracic PreMolt
0.447,5,0.077,13,0.14,23,0.08,13,0.00839,0.01955,4,0.00289,0.02859,3,3,100,9,Thoracic PreMolt
0.449,5,0.078,15,0.123,21,0.068,11,0.00738,0.01111,2,0.00248,0.02516,4,3,75,11,Thoracic PreMolt
0.401,5,0.068,13,0.125,21,0.073,12,0.00658,0.0153,3,0.00239,0.0232,4,4,100,6,Thoracic PreMolt
0.455,5,0.076,13,0.13,23,0.083,14,0.0083,0.01328,3,0.00243,0.02669,0,0,,2,Thoracic PreMolt
0.459,5,0.077,13,0.128,22,0.072,12,0.00771,0.01482,3,0.00227,0.02864,3,3,100,8,Thoracic PreMolt
0.433,5,0.073,13,0.122,20,0.073,11,0.00739,0.01512,3,0.00238,0.02455,1,1,100,5,Thoracic PreMolt
0.483,5,0.085,15,0.138,21,0.079,12,0.00904,0.01446,3,0.00289,0.03125,11,11,100,24,Thoracic PreMolt
0.435,5,0.071,14,0.128,21,0.074,11,0.00733,0.0156,4,0.0023,0.02535,3,2,66.66666667,13,Thoracic PreMolt
0.394,5,0.066,15,0.115,25,0.077,16,0.00621,0.01074,4,0.00156,0.0203,5,5,100,5,Thoracic PreMolt
0.433,5,0.075,15,0.124,22,0.083,14,0.00764,0.01224,4,0.00199,0.02373,7,6,85.71428571,9,Thoracic PreMolt
0.431,5,0.072,14,0.131,23,0.072,13,0.00765,0.01286,2,0.00212,0.02557,5,5,100,7,Thoracic PreMolt
0.448,5,0.076,13,0.126,20,0.07,11,0.00739,0.00778,2,0.00212,0.02585,5,5,100,12,Thoracic PreMolt
0.451,5,0.085,15,0.126,21,0.076,13,0.00882,0.01489,3,0.00257,0.02846,1,1,100,7,Thoracic PreMolt
0.45,6,0.062,14,0.12,19,0.083,15,0.00663,0.01336,3,0.00214,0.02864,1,1,100,11,Thoracic PreMolt
0.456,6,0.06,11,0.123,21,0.086,12,0.00617,0.01154,3,0.002,0.02876,3,2,66.66666667,13,Thoracic PreMolt
0.476,6,0.067,12,0.12,19,0.083,15,0.00718,0.01075,3,0.00194,0.02874,3,2,66.66666667,7,Thoracic PreMolt
0.476,6,0.065,14,0.123,25,0.086,16,0.00693,0.01141,3,0.00207,0.02863,6,6,100,14,Thoracic PreMolt
0.493,6,0.082,15,0.128,22,0.089,14,0.00838,0.01261,3,0.00249,0.03289,6,5,83.33333333,12,Thoracic PreMolt
0.463,6,0.061,11,0.128,21,0.097,16,0.00685,0.01187,3,0.00227,0.03019,10,9,90,16,Thoracic PreMolt
0.441,6,0.054,11,0.12,21,0.088,15,0.00556,0.01259,3,0.00218,0.02433,6,6,100,,Thoracic PreMolt
0.472,6,0.068,13,0.115,19,0.094,17,0.00668,0.01301,3,0.00218,0.03032,4,4,100,31,Thoracic PreMolt
0.429,6,0.05,10,0.105,17,0.079,14,0.00471,0.01297,3,0.00189,0.02385,2,2,100,,Thoracic PreMolt
0.466,6,0.06,13,0.124,22,0.084,14,0.00573,0.0108,3,0.00192,0.02798,9,8,88.88888889,19,Thoracic PreMolt
0.441,6,0.054,10,0.101,19,0.08,14,0.00463,0.00963,2,0.00166,0.02229,3,3,100,15,Thoracic PreMolt
0.469,6,0.056,12,0.123,21,0.093,16,0.00573,0.01407,3,0.00209,0.02988,3,3,100,8,Thoracic PreMolt
0.456,6,0.065,13,0.123,21,0.094,16,0.00667,0.01572,4,0.00226,0.02735,3,2,66.66666667,13,Thoracic PreMolt
0.423,6,0.054,11,0.125,22,0.091,18,0.00543,0.0133,3,0.00196,0.02489,9,5,55.55555556,14,Thoracic PreMolt
0.473,6,0.068,14,0.139,24,0.098,15,0.0076,0.01257,3,0.00258,0.03056,3,3,100,19,Thoracic PreMolt
0.438,6,0.056,11,0.127,22,0.088,17,0.00556,0.01053,3,0.00171,0.02566,4,4,100,16,Thoracic PreMolt
0.479,6,0.075,16,0.125,22,0.087,14,0.00759,0.01425,4,0.00189,0.02762,7,6,85.71428571,,Thoracic PreMolt
0.473,6,0.072,17,0.133,23,0.087,15,0.00763,0.01322,3,0.0023,0.03267,11,10,90.90909091,28,Thoracic PreMolt
0.455,6,0.058,11,0.141,25,0.083,18,0.00683,0.01186,3,0.0025,0.02893,6,6,100,31,Thoracic PreMolt
0.465,6,0.062,13,0.142,25,0.081,14,0.0068,0.01375,3,0.00241,0.03346,7,7,100,20,Thoracic PreMolt
0.455,6,0.059,11,0.116,18,0.08,12,0.0059,0.01224,3,0.0019,0.02735,5,5,100,13,Thoracic PreMolt
0.479,6,0.077,17,0.126,23,0.086,14,0.0077,0.01149,3,0.002,0.02845,10,9,90,,Thoracic PreMolt
0.424,6,0.049,10,0.113,23,0.083,18,0.00457,0.01512,3,0.00195,0.0227,5,5,100,16,Thoracic PreMolt
0.457,6,0.055,11,0.122,21,0.084,15,0.00551,0.01482,3,0.00169,0.02758,7,7,100,10,Thoracic PreMolt
0.464,6,0.07,16,0.123,24,0.086,16,0.00688,0.01933,4,0.00225,0.02971,8,8,100,19,Thoracic PreMolt
0.427,6,0.055,12,0.117,20,0.087,16,0.00573,0.014,3,0.00184,0.02405,1,1,100,28,Thoracic PreMolt
0.439,6,0.056,11,0.132,23,0.091,14,0.00624,0.01151,2,0.00176,0.02792,10,9,90,17,Thoracic PreMolt
0.443,6,0.064,14,0.12,21,0.086,17,0.00634,0.01444,3,0.002,0.02644,3,3,100,9,Thoracic PreMolt
0.452,6,0.071,15,0.13,24,0.082,16,0.00717,0.01279,4,0.0021,0.02803,3,3,100,12,Thoracic PreMolt
0.494,6,0.074,16,0.136,23,0.09,16,0.00797,0.01209,3,0.00254,0.03226,,,,,Thoracic PreMolt
0.416,6,0.06,13,0.116,24,0.084,17,0.00593,0.01296,3,0.00173,0.02414,3,3,100,,Thoracic PreMolt
0.419,6,0.056,13,0.109,21,0.08,14,0.00525,0.01151,3,0.00142,0.02226,3,3,100,9,Thoracic PreMolt
0.475,6,0.07,13,0.132,23,0.086,14,0.00729,0.01223,3,0.00257,0.03235,6,5,83.33333333,18,Thoracic PreMolt
0.53,6,0.083,15,0.138,25,0.1,17,0.00976,0.01572,3,0.00259,0.03525,14,11,78.57142857,21,Thoracic PreMolt
0.461,6,0.062,12,0.141,24,0.094,14,0.00698,0.01556,4,0.00282,0.03384,3,3,100,20,Thoracic PreMolt
0.487,6,0.072,12,0.13,20,0.093,16,0.00719,0.01279,2,0.00235,0.03199,7,6,85.71428571,22,Thoracic PreMolt
0.432,6,0.058,11,0.118,19,0.085,15,0.00569,0.01575,3,0.00217,0.02467,11,10,90.90909091,21,Thoracic PreMolt
0.491,6,0.074,14,0.131,23,0.093,14,0.00845,0.01707,4,0.00246,0.03245,8,6,75,20,Thoracic PreMolt
0.474,6,0.062,14,0.128,22,0.095,15,0.00669,0.01296,3,0.00228,0.03039,3,1,33.33333333,20,Thoracic PreMolt
0.467,6,0.065,15,0.123,21,0.085,14,0.00651,0.01284,3,0.0021,0.02865,11,10,90.90909091,26,Thoracic PreMolt
0.49,6,0.069,13,0.137,24,0.099,17,0.00823,0.01574,4,0.00291,0.03357,6,5,83.33333333,14,Thoracic PreMolt
0.433,6,0.054,12,0.123,24,0.09,14,0.00563,0.01,3,0.00173,0.02457,5,5,100,16,Thoracic PreMolt
0.465,6,0.066,13,0.132,21,0.08,12,0.00675,0.01294,3,0.00224,0.02953,7,7,100,16,Thoracic PreMolt
0.471,6,0.07,13,0.141,23,0.091,13,0.00822,0.01279,3,0.00245,0.03569,13,12,92.30769231,24,Thoracic PreMolt
0.46,6,0.071,15,0.135,23,0.085,15,0.00771,0.01238,3,0.00214,0.03168,6,5,83.33333333,18,Thoracic PreMolt
0.464,6,0.069,14,0.142,24,0.084,14,0.0077,0.01151,3,0.00215,0.03348,9,6,66.66666667,16,Thoracic PreMolt
0.473,6,0.064,13,0.124,20,0.094,16,0.00681,0.01105,3,0.0024,0.02941,4,3,75,30,Thoracic PreMolt
0.45,6,0.06,13,0.125,19,0.084,15,0.00638,0.01626,4,0.00198,0.02791,3,3,100,7,Thoracic PreMolt
0.517,6,0.08,15,0.136,24,0.097,17,0.00916,0.01658,4,0.0026,0.03361,1,1,100,23,Thoracic PreMolt
0.455,6,0.053,11,0.12,21,0.085,15,0.00512,0.01061,2,0.00169,0.02811,4,3,75,19,Thoracic PreMolt
0.553,7,0.081,14,0.141,24,0.102,17,0.00968,0.01425,3,0.00214,0.03905,6,5,83.33333333,19,Thoracic PostMolt
0.561,7,0.082,15,0.116,20,0.086,14,0.0077,0.01141,3,0.00213,0.03692,4,3,75,14,Thoracic PostMolt
0.582,7,0.0837,16,0.132,21,0.097,15,0.00867,0.0104,2,0.00217,0.04244,4,4,100,13,Thoracic PostMolt
0.579,7,0.084,17,0.144,26,0.102,14,0.01026,0.01266,3,0.00214,0.04025,1,1,100,18,Thoracic PostMolt
0.6,7,0.089,17,0.151,25,0.108,18,0.01158,0.01343,3,0.00253,0.04905,9,8,88.88888889,18,Thoracic PostMolt
0.585,7,0.091,16,0.143,26,0.106,17,0.01098,0.01089,3,0.00215,0.04832,7,6,85.71428571,24,Thoracic PostMolt
0.531,7,0.076,14,0.142,24,0.103,16,0.00858,0.00928,2,0.00225,0.04016,7,6,85.71428571,19,Thoracic PostMolt
0.547,7,0.082,19,0.125,26,0.09,15,0.00861,0.01159,4,0.00184,0.03665,1,1,100,9,Thoracic PostMolt
0.592,7,0.09,18,0.145,22,0.111,17,0.01118,0.01227,3,0.00247,0.04788,9,9,100,26,Thoracic PostMolt
0.574,7,0.084,16,0.122,21,0.09,14,0.00867,0.01162,3,0.00193,0.03901,4,4,100,7,Thoracic PostMolt
0.544,7,0.096,19,0.123,22,0.086,15,0.0096,0.00926,3,0.0016,0.03456,8,8,100,24,Thoracic PostMolt
0.546,7,0.078,14,0.122,22,0.084,14,0.00786,0.01143,3,0.00214,0.03817,2,2,100,15,Thoracic PostMolt
0.593,7,0.086,18,0.126,24,0.103,17,0.00929,0.00855,2,0.00186,0.03994,8,6,75,32,Thoracic PostMolt
0.539,7,0.069,14,0.129,24,0.104,18,0.00765,0.01348,3,0.00223,0.03884,6,5,83.33333333,24,Thoracic PostMolt
0.574,7,0.08,15,0.116,25,0.092,15,0.008,0.01176,3,0.00206,0.03641,8,8,100,25,Thoracic PostMolt
0.545,7,0.076,15,0.121,22,0.094,14,0.00785,0.00949,2,0.00178,0.0376,7,6,85.71428571,19,Thoracic PostMolt
0.555,7,0.072,15,0.128,23,0.093,16,0.00788,0.01049,2,0.00185,0.03981,4,3,75,32,Thoracic PostMolt
0.588,7,0.09,17,0.13,22,0.1,17,0.00973,0.00832,2,0.00208,0.04067,3,2,66.66666667,11,Thoracic PostMolt
0.558,7,0.079,14,0.129,22,0.095,16,0.00848,0.01429,3,0.00197,0.0382,0,0,,14,Thoracic PostMolt
0.556,7,0.061,13,0.108,21,0.093,16,0.00598,0.01126,3,0.00174,0.03463,5,5,100,15,Thoracic PostMolt
0.558,7,0.085,16,0.139,26,0.097,15,0.01024,0.01452,3,0.00199,0.04054,4,4,100,13,Thoracic PostMolt
0.563,7,0.07,14,0.116,21,0.097,16,0.00708,0.00944,2,0.0018,0.04055,10,10,100,27,Thoracic PostMolt
0.494,7,0.068,16,0.116,21,0.085,14,0.00697,0.00949,2,0.00148,0.03043,6,5,83.33333333,19,Thoracic PostMolt
0.5,7,0.059,9,0.104,17,0.086,12,0.00556,0.01,2,0.00141,0.027,5,4,80,4,Thoracic PostMolt
0.593,8,0.08,16,0.116,21,0.094,16,0.00822,0.01126,2,0.00184,0.04002,8,7,87.5,25,Thoracic PostMolt
0.581,8,0.064,15,0.124,24,0.103,17,0.00744,0.01029,2,0.00181,0.04142,3,2,66.66666667,23,Thoracic PostMolt
0.598,8,0.069,14,0.122,23,0.1,16,0.00756,0.00917,2,0.00158,0.04227,3,2,66.66666667,18,Thoracic PostMolt
0.596,8,0.065,12,0.116,19,0.102,14,0.00761,0.008,2,0.00183,0.044,6,5,83.33333333,6,Thoracic PostMolt
0.533,8,0.051,10,0.107,17,0.09,14,0.00473,0.009,2,0.00142,0.03,1,1,100,9,Thoracic PostMolt
0.59,8,0.075,14,0.115,18,0.094,15,0.00747,0.01,3,0.00172,0.04,8,7,87.5,11,Thoracic PostMolt
0.621,8,0.072,13,0.129,22,0.098,13,0.00905,0.014,3,0.00227,0.048,9,8,88.88888889,16,Thoracic PostMolt
0.598,8,0.068,14,0.128,21,0.101,14,0.00771,0.013,3,0.00231,0.044,4,4,100,2,Thoracic PostMolt
0.598,8,0.075,13,0.112,19,0.095,15,0.00759,0.01,2,0.00171,0.042,7,6,85.71428571,13,Thoracic PostMolt
0.638,8,0.076,13,0.142,22,0.111,16,0.00891,0.014,3,0.00245,0.054,10,9,90,2,Thoracic PostMolt
0.603,8,0.077,12,0.121,20,0.096,17,0.0079,0.01,2,0.00226,0.042,5,4,80,7,Thoracic PostMolt
0.593,8,0.084,14,0.085,14,0.056,9,0.00592,0.008,2,0.00138,0.034,1,1,100,7,Thoracic PostMolt
0.565,8,0.058,10,0.104,16,0.087,13,0.00544,0.012,3,0.00164,0.036,4,4,100,13,Thoracic PostMolt
0.587,8,0.066,10,0.126,18,0.104,16,0.00729,0.011,2,0.00164,0.04,2,2,100,7,Thoracic PostMolt
0.621,8,0.089,14,0.128,22,0.099,15,0.01001,0.009,2,0.00203,0.047,7,6,85.71428571,10,Thoracic PostMolt
0.576,8,0.075,13,0.123,19,0.092,14,0.00773,0.011,3,0.00218,0.043,2,2,100,4,Thoracic PostMolt
0.62,8,0.072,12,0.128,18,0.106,17,0.00831,0.014,3,0.00246,0.0465,1,1,100,6,Thoracic PostMolt
0.581,8,0.069,12,0.127,18,0.101,15,0.00786,0.013,3,0.00223,0.042,3,3,100,6,Thoracic PostMolt
0.622,8,0.078,12,0.131,21,0.103,17,0.00887,0.01,2,0.00202,0.049,6,6,100,14,Thoracic PostMolt
0.618,8,0.073,12,0.132,19,0.108,17,0.00859,0.009,2,0.00218,0.046,1,1,100,3,Thoracic PostMolt
0.605,8,0.071,11,0.126,20,0.105,14,0.00781,0.013,3,0.00211,0.048,8,8,100,6,Thoracic PostMolt
0.591,8,0.071,14,0.116,20,0.095,14,0.00705,0.009,2,0.0016,0.042,4,4,100,8,Thoracic PostMolt
0.586,8,0.069,14,0.126,19,0.099,15,0.00758,0.008,2,0.0017,0.045,0,0,,3,Thoracic PostMolt
0.601,8,0.074,13,0.114,18,0.086,12,0.00752,0.011,3,0.00172,0.039,8,5,62.5,3,Thoracic PostMolt
0.616,8,0.066,10,0.115,16,0.098,13,0.0065,0.011,3,0.00184,0.044,7,6,85.71428571,8,Thoracic PostMolt
0.522,8,0.06,11,0.118,17,0.099,16,0.00604,0.007,2,0.00155,0.036,2,1,50,5,Thoracic PostMolt
0.615,8,0.077,12,0.138,17,0.109,15,0.00879,0.007,1,0.00226,0.048,3,1,33.33333333,4,Thoracic PostMolt
0.591,8,0.062,13,0.138,20,0.128,18,0.00784,0.012,3,0.00237,0.043,4,3,75,8,Thoracic PostMolt
0.587,8,0.068,13,0.123,18,0.099,15,0.00742,0.013,3,0.00202,0.039,3,3,100,3,Thoracic PostMolt
0.662,9,0.074,12,0.153,26,0.122,19,0.01017,0.014,3,0.00238,0.058,2,2,100,2,Thoracic PostMolt
0.67,9,0.064,10,0.128,18,0.109,16,0.00731,0.01,2,0.00247,0.053,4,3,75,7,Thoracic PostMolt
0.606,9,0.067,12,0.124,20,0.097,14,0.00715,0.01,2,0.00187,0.045,2,1,50,6,Thoracic PostMolt
0.655,9,0.068,13,0.128,22,0.11,16,0.00764,0.009,2,0.00194,0.051,3,3,100,5,Thoracic PostMolt
0.632,9,0.062,10,0.135,22,0.114,17,0.00744,0.011,3,0.00184,0.051,1,0,0,3,Thoracic PostMolt
0.59,9,0.059,12,0.117,21,0.102,16,0.00639,0.008,2,0.0013,0.04,2,2,100,7,Thoracic PostMolt
0.617,9,0.068,12,0.115,18,0.092,13,0.00703,0.009,2,0.00164,0.045,4,3,75,7,Thoracic PostMolt
0.582,9,0.054,9,0.104,19,0.099,15,0.00505,0.006,2,0.00106,0.036,8,5,62.5,16,Thoracic PostMolt
0.655,9,0.069,12,0.141,21,0.112,16,0.00831,0.009,2,0.00199,0.055,4,2,50,5,Thoracic PostMolt
0.656,9,0.071,14,0.159,28,0.123,18,0.00952,0.01,2,0.0022,0.068,2,1,50,15,Thoracic PostMolt
0.63,9,0.069,13,0.156,23,0.122,18,0.00898,0.009,2,0.00235,0.056,2,1,50,4,Thoracic PostMolt
0.644,9,0.07,15,0.138,19,0.114,15,0.00816,0.007,2,0.00183,0.052,6,5,83.33333333,12,Thoracic PostMolt
0.65,9,0.073,13,0.16,,0.125,18,0.01037,0.01,3,0.00237,0.063,3,3,100,9,Thoracic PostMolt
0.652,9,0.076,14,0.138,24,0.112,17,0.00925,0.012,3,0.00198,0.053,5,3,60,14,Thoracic PostMolt
0.634,9,0.072,11,0.128,19,0.104,15,0.00814,0.008,2,0.0017,0.052,4,3,75,7,Thoracic PostMolt
0.656,9,0.079,14,0.136,19,0.108,17,0.00896,0.01,2,0.00188,0.054,7,6,85.71428571,7,Thoracic PostMolt
0.649,9,0.069,13,0.129,19,0.108,15,0.00738,0.009,3,0.0018,0.051,1,1,100,1,Thoracic PostMolt
0.659,9,0.064,14,0.137,18,0.108,16,0.00759,0.009,2,0.00203,0.053,0,0,,2,Thoracic PostMolt
0.606,9,0.06,10,0.14,22,0.113,16,0.00751,0.011,2,0.00172,0.05,3,3,100,4,Thoracic PostMolt
0.705,9,0.101,13,0.149,22,0.124,17,0.0132,0.011,2,0.00225,0.068,8,2,25,13,Thoracic PostMolt
0.625,9,0.071,13,0.118,19,0.104,15,0.00746,0.01,2,0.00158,0.045,1,1,100,2,Thoracic PostMolt
0.61,9,0.065,13,0.131,20,0.109,16,0.0076,0.008,2,0.00188,0.046,2,2,100,1,Thoracic PostMolt
0.625,9,0.06,11,0.128,21,0.105,17,0.00728,0.01,3,0.00178,0.05,5,2,40,6,Thoracic PostMolt
0.668,9,0.072,14,0.125,19,0.101,14,0.00813,0.013,3,0.00207,0.053,10,9,90,8,Thoracic PostMolt
0.651,9,0.065,11,0.112,17,0.111,15,0.00759,0.017,4,0.00204,0.052,4,4,100,9,Thoracic PostMolt
0.649,9,0.066,13,0.133,19,0.102,14,0.00768,0.011,3,0.00251,0.054,5,4,80,11,Thoracic PostMolt
0.651,9,0.061,12,0.147,23,0.129,20,0.00801,0.01,3,0.00221,0.057,12,5,41.66666667,16,Thoracic PostMolt
0.645,9,0.076,14,0.126,18,0.107,16,0.00841,0.011,3,0.00181,0.055,3,3,100,5,Thoracic PostMolt
0.665,9,0.061,10,0.136,21,0.118,17,0.00782,0.012,3,0.0021,0.059,9,7,77.77777778,14,Thoracic PostMolt
0.613,9,0.057,12,0.12,19,0.102,15,0.0063,0.009,2,0.00181,0.048,0,0,,5,Thoracic PostMolt
0.64,9,0.081,14,0.118,20,0.097,14,0.00895,0.013,3,0.00193,0.049,6,4,66.66666667,11,Thoracic PostMolt
0.594,9,0.061,11,0.123,21,0.106,15,0.00677,0.013,3,0.00171,0.041,1,1,100,0,Thoracic PostMolt
0.605,9,0.072,12,0.105,16,0.088,13,0.00677,0.01,2,0.00155,0.039,2,2,100,4,Thoracic PostMolt
0.639,9,0.08,15,0.153,23,0.115,16,0.01068,0.009,3,0.00266,0.058,4,4,100,11,Thoracic PostMolt
0.669,9,0.051,11,0.133,21,0.126,18,0.00679,0.017,3,0.00255,0.054,7,6,85.71428571,22,Thoracic PostMolt
0.652,9,0.064,14,0.126,22,0.115,17,0.00745,0.012,3,0.00191,0.054,9,8,88.88888889,7,Thoracic PostMolt
0.646,9,0.059,12,0.094,15,0.07,11,0.00492,0.012,3,0.00154,0.049,6,6,100,10,Thoracic PostMolt
0.66,9,0.063,12,0.12,20,0.115,17,0.00775,0.015,3,0.00259,0.053,4,4,100,11,Thoracic PostMolt
0.641,9,0.057,11,0.123,19,0.112,18,0.00685,0.013,4,0.00214,0.043,3,3,100,8,Thoracic PostMolt
0.537,9,0.044,11,0.103,18,0.096,15,0.00439,0.007,2,0.00112,0.029,2,2,100,6,Thoracic PostMolt
0.602,9,0.058,11,0.138,21,0.123,18,0.00728,0.007,2,0.00192,0.04,2,1,50,,Thoracic PostMolt
0.567,9,0.051,10,0.118,18,0.102,16,0.00562,0.008,2,0.0016,0.037,3,2,66.66666667,8,Thoracic PostMolt
0.626,9,0.063,11,0.114,18,0.098,15,0.00625,0.008,2,0.00151,0.042,7,4,57.14285714,13,Thoracic PostMolt
0.655,9,0.069,13,0.134,19,0.115,16,0.00808,0.012,3,0.00212,0.048,5,5,100,21,Thoracic PostMolt
0.549,9,0.079,13,0.102,19,0.089,15,0.00429,0.007,2,0.00136,0.035,4,3,75,4,Thoracic PostMolt
